X,Y,IDHAB,NATECR,TXT,POLICE,TAILLE,STYLE,ANGLE,INSEE,icon_url
-0.136893260156613,49.2894119642263,HT14117001,ZONE_URBA,UD,Arial,"6",Normal,"0","14117",./0.png
-0.131687081468389,49.2904041604039,HT14117002,ZONE_URBA,Nm,Arial,"6",Normal,"0","14117",./0.png
-0.1336887563351,49.2881525131867,HT14117003,ZONE_URBA,UTa,Arial,"6",Normal,"0","14117",./0.png
-0.13637926008461,49.2875203811043,HT14117004,ZONE_URBA,UCa,Arial,"6",Normal,"0","14117",./0.png
-0.138778984654547,49.2863475912534,HT14117005,ZONE_URBA,UCa,Arial,"6",Normal,"0","14117",./0.png
-0.138406738829715,49.2842278567138,HT14117006,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.140595539608894,49.2816411329934,HT14117007,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.137248259754291,49.2818474584701,HT14117008,ZONE_URBA,UT,Arial,"6",Normal,"0","14117",./0.png
-0.144358097382598,49.2806714324519,HT14117009,ZONE_URBA,UT,Arial,"6",Normal,"0","14117",./0.png
-0.146526200744713,49.2779546869695,HT14117010,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.149661196951506,49.2748967345294,HT14117011,ZONE_URBA,N,Arial,"6",Normal,"0","14117",./0.png
-0.145655289428971,49.2765419008849,HT14117012,ZONE_URBA,N,Arial,"6",Normal,"0","14117",./0.png
-0.142024452441267,49.2773262509186,HT14117013,ZONE_URBA,1AUe,Arial,"6",Normal,"0","14117",./0.png
-0.139381457483213,49.2786224233536,HT14117014,ZONE_URBA,1AUf,Arial,"6",Normal,"0","14117",./0.png
-0.138873931614167,49.2796511107867,HT14117015,ZONE_URBA,UFa,Arial,"6",Normal,"0","14117",./0.png
-0.137663670943583,49.2764814624817,HT14117016,ZONE_URBA,1AUe,Arial,"6",Normal,"0","14117",./0.png
-0.136594231838016,49.2776196695952,HT14117017,ZONE_URBA,UFa,Arial,"6",Normal,"0","14117",./0.png
-0.132754913551629,49.2750699588167,HT14117018,ZONE_URBA,UT,Arial,"6",Normal,"0","14117",./0.png
-0.136738658498715,49.2726612877186,HT14117019,ZONE_URBA,Nm,Arial,"6",Normal,"0","14117",./0.png
-0.145262831030208,49.2742568456689,HT14117020,ZONE_URBA,Nm,Arial,"6",Normal,"0","14117",./0.png
-0.130774268161412,49.2782485484234,HT14117021,ZONE_URBA,UE,Arial,"6",Normal,"0","14117",./0.png
-0.136373150321833,49.2794805329096,HT14117022,ZONE_URBA,UF,Arial,"6",Normal,"0","14117",./0.png
-0.134462360022724,49.2818292446437,HT14117023,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.130650068313834,49.281142612301,HT14117024,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.127915686489817,49.2823003909198,HT14117025,ZONE_URBA,1AUc,Arial,"6",Normal,"0","14117",./0.png
-0.130933012565792,49.2831135890408,HT14117026,ZONE_URBA,1AUc,Arial,"6",Normal,"0","14117",./0.png
-0.128009139038956,49.2840483280513,HT14117027,ZONE_URBA,1AUd,Arial,"6",Normal,"0","14117",./0.png
-0.129077377830556,49.2855226795369,HT14117028,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.132008211748435,49.2851657566779,HT14117029,ZONE_URBA,UCa,Arial,"6",Normal,"0","14117",./0.png
-0.130978178194971,49.2887880369789,HT14117030,ZONE_URBA,UDb,Arial,"6",Normal,"0","14117",./0.png
-0.128776279267975,49.2893519926164,HT14117031,ZONE_URBA,UD,Arial,"6",Normal,"0","14117",./0.png
-0.12686950198732,49.2883362744836,HT14117032,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.124951570507544,49.2890013520205,HT14117033,ZONE_URBA,UEj,Arial,"6",Normal,"0","14117",./0.png
-0.127580573601941,49.2903417131331,HT14117034,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.12639311843522,49.2903369785411,HT14117035,ZONE_URBA,UD,Arial,"6",Normal,"0","14117",./0.png
-0.121563293511691,49.2912609591962,HT14117036,ZONE_URBA,UB,Arial,"6",Normal,"0","14117",./0.png
-0.119925989793903,49.2878235312352,HT14117037,ZONE_URBA,UB,Arial,"6",Normal,"0","14117",./0.png
-0.121234322948084,49.2868724013886,HT14117038,ZONE_URBA,UEj,Arial,"6",Normal,"0","14117",./0.png
-0.12449642919992,49.2865098110496,HT14117039,ZONE_URBA,UDa,Arial,"6",Normal,"0","14117",./0.png
-0.126376613266811,49.2809513978402,HT14117040,ZONE_URBA,UE,Arial,"6",Normal,"0","14117",./0.png
-0.124292065953226,49.2804372707868,HT14117041,ZONE_URBA,UC,Arial,"6",Normal,"0","14117",./0.png
-0.124125572774053,49.2832171525348,HT14117042,ZONE_URBA,UD,Arial,"6",Normal,"0","14117",./0.png
