X,Y,fid,Code_insee,NATURE,ADRESSE LO,latitude,longitude,result_lab,result_sco,result_typ,result_id,result_hou,result_nam,result_str,result_pos,result_cit,result_con,result_c_1,result_old,result_o_1,result_dis,icon_url
-0.114949,49.2930079999873,1,"14117",GARAGE,0001 JARDINS DU CASINO,"49.293008","-0.114949",1 Jardins du Casino 14390 Cabourg,"0.82",housenumber,14117_b046_00001,"1",Jardins du Casino,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.131693,49.2758679999872,2,"14117",GAR.PAR,0068 CALIFORNIA PARK,"49.275868","-0.131693",68 California Park 14390 Cabourg,"0.87",housenumber,14117_b095_00068,"68",California Park,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109757,49.2901209999873,3,"14117",PARKING,0001 RES LES HAMEAUX DU PORT,"49.290121","-0.109757",1 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00001,"1",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109757,49.2901209999873,4,"14117",PARKING,0001 RES LES HAMEAUX DU PORT,"49.290121","-0.109757",1 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00001,"1",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,5,"14117",GARAGE,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,6,"14117",GARAGE,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,7,"14117",PARKING,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,8,"14117",PARKING,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,9,"14117",PARKING,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,10,"14117",PARKING,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,11,"14117",PARKING,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109638,49.2900669999873,12,"14117",PARKING,0002 RES LES HAMEAUX DU PORT,"49.290067","-0.109638",2 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00002,"2",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109457,49.2900219999873,13,"14117",GARAGE,0003 RES LES HAMEAUX DU PORT,"49.290022","-0.109457",3 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00003,"3",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109457,49.2900219999873,14,"14117",PARKING,0003 RES LES HAMEAUX DU PORT,"49.290022","-0.109457",3 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00003,"3",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109253,49.2900389999873,15,"14117",PARKING,0004 RES LES HAMEAUX DU PORT,"49.290039","-0.109253",4 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00004,"4",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,16,"14117",GARAGE,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,17,"14117",GARAGE,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,18,"14117",GARAGE,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,19,"14117",PARKING,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,20,"14117",PARKING,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,21,"14117",PARKING,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,22,"14117",PARKING,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.109064,49.2900129999873,23,"14117",PARKING,0005 RES LES HAMEAUX DU PORT,"49.290013","-0.109064",5 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00005,"5",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108899,49.2899319999873,24,"14117",PARKING,0006 RES LES HAMEAUX DU PORT,"49.289932","-0.108899",6 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00006,"6",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108734,49.2898519999873,25,"14117",GARAGE,0007 RES LES HAMEAUX DU PORT,"49.289852","-0.108734",7 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00007,"7",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108734,49.2898519999873,26,"14117",PARKING,0007 RES LES HAMEAUX DU PORT,"49.289852","-0.108734",7 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00007,"7",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108734,49.2898519999873,27,"14117",PARKING,0007 RES LES HAMEAUX DU PORT,"49.289852","-0.108734",7 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00007,"7",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108734,49.2898519999873,28,"14117",PARKING,0007 RES LES HAMEAUX DU PORT,"49.289852","-0.108734",7 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00007,"7",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108734,49.2898519999873,29,"14117",PARKING,0007 RES LES HAMEAUX DU PORT,"49.289852","-0.108734",7 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00007,"7",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108734,49.2898519999873,30,"14117",PARKING,0007 RES LES HAMEAUX DU PORT,"49.289852","-0.108734",7 Residence les Hameaux du Port 14390 Cabourg,"0.66",housenumber,14117_b108_00007,"7",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,31,"14117",GARAGE,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,32,"14117",GARAGE,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,33,"14117",GARAGE,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,34,"14117",GARAGE,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,35,"14117",GARAGE,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,36,"14117",GARAGE,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,37,"14117",PARKING,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,38,"14117",PARKING,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,39,"14117",PARKING,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
-0.108593,49.2895179999873,40,"14117",PARKING,0010 RES LES HAMEAUX DU PORT,"49.289518","-0.108593",10 Residence les Hameaux du Port 14390 Cabourg,"0.68",housenumber,14117_b108_00010,"10",Residence les Hameaux du Port,,"14390",Cabourg,"14, Calvados, Normandie","14117",,,,./0.png
